PaperID,First Author,Year,Journal,Design,NumCitations,NumCitationsPerYear,TaskLength,Interval,nSubjects,TaskType,Task ,Healthy,ThrICC,ROIType,SummaryICC,Cortical,ICC,ICCse,p
Schunck2008,Schunck,2008,Journal of Magnetic Resonance Imaging,b,34,3.1,11,10,14,Pain,Aversive nerve stimulations,h,0,f,0,C,0.25,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.91,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.753,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.715,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.731,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.7,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.96,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.85,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.88,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.731,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.72,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.735,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.68,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.86,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.81,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.83,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.79,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.93,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.86,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.82,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.89,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,S,0.7,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.92,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.82,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.73,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.83,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.93,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.83,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.82,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.86,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.88,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.88,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.87,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.73,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.82,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.87,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.78,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.69,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,S,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,90,18,Reward,Child-friendly MID,h,1,icc,1,S,0.7,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.92,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.91,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.81,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.73,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.92,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.91,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.87,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,S,0.74,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.71,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.82,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.74,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.78,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.92,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.85,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.87,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.87,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.75,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.76,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.72,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.7,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.85,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.85,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.84,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,S,0.77,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,1008,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.94,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.91,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.78,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,S,0.89,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.78,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.78,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.8,,
Keren2018,Keren,2018,NeuroImage,b,1,1,16.5,549,16,Reward,Child-friendly MID,h,1,icc,1,C,0.79,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,icc,1,S,0.76,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,S,0.84,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,S,0.86,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,C,0.94,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,C,0.94,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,C,0.92,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,S,0.8,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,C,0.96,,
Aron2006,Aron,2006,NeuroImage,b,174,13.4,6,410,8,ExecutiveControl,Classification learning ,h,1,f,1,S,0.99,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.36,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.43,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.29,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,-0.07,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.42,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.15,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.26,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (left hand),h,0,sf,0,S,0.32,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,-0.34,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,-0.14,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,0.23,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,0.09,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,-0.09,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,0.07,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,-0.08,,
Lee2010,Lee,2010,NeuroImage,b,21,2.3,10,16,18,Motor,Complex button pressing (right hand),h,0,sf,0,S,0.15,,
Kimberley2007,Kimberley,2007,Journal of Neuroimaging,b,31,2.6,2.4,21,14,Motor,Continuous motor ,h,0,s,0,C,0.29,,
Kimberley2007,Kimberley,2007,Journal of Neuroimaging,b,31,2.6,2.4,21,14,Motor,Continuous motor ,h,0,s,0,C,0.28,,
Kimberley2007,Kimberley,2007,Journal of Neuroimaging,b,31,2.6,2.4,21,14,Motor,Continuous motor ,h,0,s,0,C,0.41,,
Kimberley2007,Kimberley,2007,Journal of Neuroimaging,b,31,2.6,2.4,21,14,Motor,Continuous motor ,h,0,s,0,C,0.47,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,C,0.75,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,C,0.6,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,C,0.65,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,C,0.6,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,S,0.25,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,30,13,Memory,Delayed recognition ,c,0,f,0,S,0.4,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,C,0.75,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,C,0.45,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,C,0.75,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,C,0.45,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,S,0.4,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,0,S,0.45,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,1,C,0.4,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,1,C,0.42,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,1,C,0.48,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,1,C,0.58,,
Zanto2014,Zanto,2014,NeuroImage,b,18,3.6,31,60,13,Memory,Delayed recognition ,c,0,f,1,S,0.3,,
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.68,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.51,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.42,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.21,,0.05
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0,,0.76
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0,,0.82
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.25,,0.03
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.58,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.76,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.29,,0.01
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.19,,0.06
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.15,,0.1
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.27,,0.02
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0,,0.7
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.34,,0.01
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.42,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.23,,0.04
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.22,,0.04
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.18,,0.07
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.4,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.54,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.03,,0.33
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.17,,0.07
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.4,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.11,,0.16
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.15,,0.1
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.26,,0.26
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0,,0.91
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.04,,0.3
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0,,0.43
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.09,,0.2
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.04,,0.3
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.26,,0.02
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.29,,0.01
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0,,0.42
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0,,0.44
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.12,,0.14
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.4,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0,,0.69
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.11,,0.16
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.36,,0
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.06,,0.26
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.08,,0.2
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,S,0.12,,0.14
Kong2007,Kong,2007,NeuroImage,b,161,13.4,4,12,8,Pain,Electroacupuncture stimulation,h,0,f,0,C,0.14,,0.11
