Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
65,"WR Shirer, H Jiang, CM Price, B Ng, MD Greicius","Optimization of rs-fMRI pre-processing for enhanced signal-noise separation, test-retest reliability, and group discrimination",2015,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191500395X,"https://scholar.google.com/scholar?cites=3264079168626099139&as_sdt=5,34&sciodt=0,34&hl=en",12,4/12/19,HTML,,,,,,,,65,16.25,13,5,4
61,"KJ Gorgolewski, AJ Storkey, ME Bastin, I Whittle…",Single subject fMRI test–retest reliability metrics and confounding factors,2013,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811912010890,"https://scholar.google.com/scholar?cites=343034613081883425&as_sdt=5,34&sciodt=0,34&hl=en",13,4/12/19,HTML,,,,,,,,61,10.17,12,5,6
183,"A Caceres, DL Hall, FO Zelaya, SCR Williams…",Measuring fMRI reliability with the intra-class correlation coefficient,2009,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381190801327X,"https://scholar.google.com/scholar?cites=11768638451048468446&as_sdt=5,34&sciodt=0,34&hl=en",14,4/12/19,HTML,,,,,,,,183,18.3,37,5,10
54,"F Clément, S Belleville",Test–retest reliability of fMRI verbal episodic memory paradigms in healthy older adults and in persons with mild cognitive impairment,2009,Human brain mapping,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20827,"https://scholar.google.com/scholar?cites=14704099888079909362&as_sdt=5,34&sciodt=0,34&hl=en",15,4/12/19,,,,,,,,,54,5.4,27,2,10
11,"MM Herting, P Gautam, Z Chen, A Mezher…",Test-retest reliability of longitudinal task-based fMRI: Implications for developmental studies,2018,Developmental cognitive …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929316300299,"https://scholar.google.com/scholar?cites=17060244200470538200&as_sdt=5,34&sciodt=0,34&hl=en",16,4/12/19,HTML,,,,,,,,11,11,2,5,1
179,"L Friedman, H Stern, GG Brown…",Test–retest and between‐site reliability in a multicenter fMRI study,2008,Human brain …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20440,"https://scholar.google.com/scholar?cites=9841437667289338991&as_sdt=5,34&sciodt=0,34&hl=en",17,4/12/19,,,,,,,,,179,16.27,45,4,11
52,"MM Plichta, O Grimm, K Morgen, D Mier, C Sauer…",Amygdala habituation: a reliable fMRI phenotype,2014,NeuroImage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811914008015,"https://scholar.google.com/scholar?cites=2305907921738815551&as_sdt=5,34&sciodt=0,34&hl=en",18,4/12/19,HTML,,,,,,,,52,10.4,9,6,5
17,"J Wang, Y Ren, X Hu, VT Nguyen, L Guo…",Test–retest reliability of functional connectivity networks during naturalistic fMRI paradigms,2017,Human brain …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23517,"https://scholar.google.com/scholar?cites=8270640692175973598&as_sdt=5,34&sciodt=0,34&hl=en",19,4/12/19,,,,,,,,,17,8.5,3,6,2
257,"U Braun, MM Plichta, C Esslinger, C Sauer, L Haddad…",Test–retest reliability of resting-state connectivity network characteristics using fMRI and graph theoretical measures,2012,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191100961X,"https://scholar.google.com/scholar?cites=7684418066159412883&as_sdt=5,34&sciodt=0,34&hl=en",20,4/12/19,HTML,,,,,,,,257,36.71,43,6,7
42,"M Fiecas, H Ombao, D Van Lunen, R Baumgartner…",Quantifying temporal correlations: a test–retest evaluation of functional connectivity in resting-state fMRI,2013,NeuroImage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811912009627,"https://scholar.google.com/scholar?cites=13970963251773697847&as_sdt=5,34&sciodt=0,34&hl=en",21,4/12/19,HTML,,,,,,,,42,7,8,5,6
48,"TJ Kimberley, G Khandekar, M Borich",fMRI reliability in subjects with stroke,2008,Experimental brain research,Springer,https://link.springer.com/article/10.1007/s00221-007-1221-8,"https://scholar.google.com/scholar?cites=104845712629237713&as_sdt=5,34&sciodt=0,34&hl=en",22,4/12/19,HTML,,,,,,,,48,4.36,16,3,11
23,"LK Sheu, JR Jennings, PJ Gianaros",Test–retest reliability of an fMRI paradigm for studies of cardiovascular reactivity,2012,Psychophysiology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8986.2012.01382.x,"https://scholar.google.com/scholar?cites=10363857800721971492&as_sdt=5,34&sciodt=0,34&hl=en",23,4/12/19,,,,,,,,,23,3.29,8,3,7
73,"C Weiss, C Nettekoven, AK Rehme, V Neuschmelting…","Mapping the hand, foot and face representations in the primary motor cortex—retest reliability of neuronavigated TMS versus functional MRI",2013,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191201049X,"https://scholar.google.com/scholar?cites=7981206228729577419&as_sdt=5,34&sciodt=0,34&hl=en",24,4/12/19,HTML,,,,,,,,73,12.17,15,5,6
57,"Z Li, A Kadivar, J Pluta, J Dunlop…",Test–retest stability analysis of resting brain activity revealed by blood oxygen level‐dependent functional MRI,2012,Journal of magnetic …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.23670,"https://scholar.google.com/scholar?cites=10766857675120255941&as_sdt=5,34&sciodt=0,34&hl=en",25,4/12/19,,,,,,,,,57,8.14,11,5,7
36,"B Ances, F Vaida, R Ellis, R Buxton",Test–retest stability of calibrated BOLD-fMRI in HIV− and HIV+ subjects,2011,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811910012838,"https://scholar.google.com/scholar?cites=6804809159195467573&as_sdt=5,34&sciodt=0,34&hl=en",26,4/12/19,HTML,,,,,,,,36,4.5,9,4,8
44,"K Fliessbach, T Rohe, NS Linder, P Trautner, CE Elger…",Retest reliability of reward-related BOLD signals,2010,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191000056X,"https://scholar.google.com/scholar?cites=758735359177313086&as_sdt=5,34&sciodt=0,34&hl=en",27,4/12/19,HTML,,,,,,,,44,4.89,7,6,9
66,"J Song, AS Desphande, TB Meier, DL Tudorascu…",Age-related differences in test-retest reliability in resting-state brain functional connectivity,2012,PLoS …,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0049847,"https://scholar.google.com/scholar?cites=303182334426132230&as_sdt=5,34&sciodt=0,34&hl=en",28,4/12/19,HTML,,,,,,,,66,9.43,13,5,7
15,"JE Letzen, J Boissoneault, LS Sevel, ME Robinson",Test-retest reliability of pain-related functional brain connectivity compared to pain self-report,2016,Pain,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4752858/,"https://scholar.google.com/scholar?cites=14418707366452432920&as_sdt=5,34&sciodt=0,34&hl=en",29,4/12/19,HTML,,,,,,,,15,5,4,4,3
5,"L Jaeger, L Marchal-Crespo…",Test-retest reliability of fMRI experiments during robot-assisted active and passive stepping,2015,Journal of …,jneuroengrehab.biomedcentral.com,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-015-0097-2,"https://scholar.google.com/scholar?cites=16314278925645817782&as_sdt=5,34&sciodt=0,34&hl=en",30,4/12/19,HTML,,,,,,,,5,1.25,2,3,4
46,"CL Sauder, G Hajcak, M Angstadt…",Test‐retest reliability of amygdala response to emotional faces,2013,Psychophysiology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/psyp.12129,"https://scholar.google.com/scholar?cites=8872403299327356075&as_sdt=5,34&sciodt=0,34&hl=en",31,4/12/19,,,,,,,,,46,7.67,12,4,6
142,"H Cao, MM Plichta, A Schäfer, L Haddad, O Grimm…","Test–retest reliability of fMRI-based graph theoretical properties during working memory, emotion processing, and resting state",2014,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191300949X,"https://scholar.google.com/scholar?cites=11675003148724628768&as_sdt=5,34&sciodt=0,34&hl=en",32,4/12/19,HTML,,,,,,,,142,28.4,24,6,5
34,"A Atri, JL O'Brien, A Sreenivasan, S Rastegar…",Test-retest reliability of memory task functional magnetic resonance imaging in Alzheimer disease clinical trials,2011,Archives of …,jamanetwork.com,https://jamanetwork.com/journals/jamaneurology/article-abstract/803075,"https://scholar.google.com/scholar?cites=1395525473507975536&as_sdt=5,34&sciodt=0,34&hl=en",33,4/12/19,,,,,,,,,34,4.25,7,5,8
60,"PCMP Koolschijn, MA Schel, M de Rooij…",A three-year longitudinal functional magnetic resonance imaging study of performance monitoring and test-retest reliability from childhood to early adulthood,2011,Journal of …,Soc Neuroscience,http://www.jneurosci.org/content/31/11/4204.short,"https://scholar.google.com/scholar?cites=8007921018683737363&as_sdt=5,34&sciodt=0,34&hl=en",34,4/12/19,,,,,,,,,60,7.5,15,4,8
273,"RM Birn, EK Molloy, R Patriat, T Parker, TB Meier…",The effect of scan length on the reliability of resting-state fMRI connectivity estimates,2013,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811913006010,"https://scholar.google.com/scholar?cites=10490363933395068626&as_sdt=5,34&sciodt=0,34&hl=en",35,4/12/19,HTML,,,,,,,,273,45.5,46,6,6
83,"BB Zandbelt, TE Gladwin, M Raemaekers…",Within-subject variation in BOLD-fMRI signal changes across repeated measurements: quantification and implications for sample size,2008,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811908005065,"https://scholar.google.com/scholar?cites=16186852696090968846&as_sdt=5,34&sciodt=0,34&hl=en",36,4/12/19,HTML,,,,,,,,83,7.55,21,4,11
11,"J Wörsching, F Padberg, K Helbich, A Hasan, L Koch…",Test-retest reliability of prefrontal transcranial Direct Current Stimulation (tDCS) effects on functional MRI connectivity in healthy subjects,2017,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811917303701,"https://scholar.google.com/scholar?cites=13355462769832925008&as_sdt=5,34&sciodt=0,34&hl=en",37,4/12/19,HTML,,,,,,,,11,5.5,2,6,2
119,"ME Thomason, EL Dennis, AA Joshi, SH Joshi…",Resting-state fMRI can reliably map neural networks in children,2011,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811910015582,"https://scholar.google.com/scholar?cites=764944030666416593&as_sdt=5,34&sciodt=0,34&hl=en",38,4/12/19,HTML,,,,,,,,119,14.88,24,5,8
188,"R Patriat, EK Molloy, TB Meier, GR Kirk, VA Nair…","The effect of resting condition on resting-state fMRI reliability and consistency: a comparison between resting with eyes open, closed, and fixated",2013,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811913003406,"https://scholar.google.com/scholar?cites=10720944822958542564&as_sdt=5,34&sciodt=0,34&hl=en",39,4/12/19,HTML,,,,,,,,188,31.33,31,6,6
74,"MG Bright, K Murphy",Reliable quantification of BOLD fMRI cerebrovascular reactivity despite poor breath-hold performance,2013,NeuroImage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811913007593,"https://scholar.google.com/scholar?cites=11395390176877344654&as_sdt=5,34&sciodt=0,34&hl=en",40,4/12/19,HTML,,,,,,,,74,12.33,37,2,6
7,"X Song, LP Panych, NK Chen",Data-driven and predefined ROI-based quantification of long-term resting-state fMRI reproducibility,2016,Brain connectivity,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/brain.2015.0349,"https://scholar.google.com/scholar?cites=15384507809974349733&as_sdt=5,34&sciodt=0,34&hl=en",41,4/12/19,,,,,,,,,7,2.33,2,3,3
51,"JP Schacht, RF Anton, PK Randall, X Li, S Henderson…",Stability of fMRI striatal response to alcohol cues: a hierarchical linear modeling approach,2011,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191100142X,"https://scholar.google.com/scholar?cites=2455434469346674849&as_sdt=5,34&sciodt=0,34&hl=en",42,4/12/19,HTML,,,,,,,,51,6.38,9,6,8
65,"H Zhang, L Duan, YJ Zhang, CM Lu, H Liu, CZ Zhu",Test–retest assessment of independent component analysis-derived resting-state functional connectivity based on functional near-infrared spectroscopy,2011,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811910015880,"https://scholar.google.com/scholar?cites=7822936238357068063&as_sdt=5,34&sciodt=0,34&hl=en",43,4/12/19,HTML,,,,,,,,65,8.13,11,6,8
42,"M Andellini, V Cannatà, S Gazzellini, B Bernardi…",Test-retest reliability of graph metrics of resting state MRI functional brain networks: A review,2015,Journal of neuroscience …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165027015002113,"https://scholar.google.com/scholar?cites=14383289955973583103&as_sdt=5,34&sciodt=0,34&hl=en",44,4/12/19,HTML,,,,,,,,42,10.5,8,5,4
18,"HX Du, XH Liao, QX Lin, GS Li, YZ Chi…",Test–Retest Reliability of Graph Metrics in High‐resolution Functional Connectomics: A Resting‐State Functional MRI Study,2015,CNS neuroscience & …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/cns.12431,"https://scholar.google.com/scholar?cites=9471375105889960913&as_sdt=5,34&sciodt=0,34&hl=en",45,4/12/19,,,,,,,,,18,4.5,3,6,4
52,"B Schuyler, JM Ollinger, TR Oakes, T Johnstone…",Dynamic causal modeling applied to fMRI data shows high reliability,2010,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811909007800,"https://scholar.google.com/scholar?cites=1192834858140902608&as_sdt=5,34&sciodt=0,34&hl=en",46,4/12/19,HTML,,,,,,,,52,5.78,10,5,9
43,"M Raemaekers, S Du Plessis, NF Ramsey…",Test–retest variability underlying fMRI measurements,2012,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811911013437,"https://scholar.google.com/scholar?cites=16940165120812066553&as_sdt=5,34&sciodt=0,34&hl=en",47,4/12/19,HTML,,,,,,,,43,6.14,11,4,7
15,"X Liu, F Zhou, X Li, W Qian, J Cui, IY Zhou, KDK Luk…",Organization of the intrinsic functional network in the cervical spinal cord: a resting state functional MRI study,2016,Neuroscience,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306452216304158,"https://scholar.google.com/scholar?cites=12554057292160622465&as_sdt=5,34&sciodt=0,34&hl=en",48,4/12/19,HTML,,,,,,,,15,5,2,8,3
29,"M Termenon, A Jaillard, C Delon-Martin, S Achard",Reliability of graph analysis of resting state fMRI using test-retest dataset from the Human Connectome Project,2016,NeuroImage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811916301823,"https://scholar.google.com/scholar?cites=13984830613203008526&as_sdt=5,34&sciodt=0,34&hl=en",49,4/12/19,HTML,,,,,,,,29,9.67,7,4,3
259,"MM Plichta, MJ Herrmann, CG Baehne, AC Ehlis…",Event-related functional near-infrared spectroscopy (fNIRS): are the measurements reliable?,2006,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811905025425,"https://scholar.google.com/scholar?cites=3441719461318434812&as_sdt=5,34&sciodt=0,34&hl=en",50,4/12/19,HTML,,,,,,,,259,19.92,52,5,13
34,"CM Bennett, MB Miller",fMRI reliability: influences of task and experimental design,2013,"Cognitive, Affective, & Behavioral Neuroscience",Springer,https://link.springer.com/article/10.3758/s13415-013-0195-1,"https://scholar.google.com/scholar?cites=9537982846737939757&as_sdt=5,34&sciodt=0,34&hl=en",51,4/12/19,HTML,,,,,,,,34,5.67,17,2,6
62,"BG van den Bulk, PCMP Koolschijn, PHF Meens…",How stable is activation in the amygdala and prefrontal cortex in adolescence? A study of emotional face processing across three measurements,2013,Developmental …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1878929312000801,"https://scholar.google.com/scholar?cites=6055687653134643280&as_sdt=5,34&sciodt=0,34&hl=en",52,4/12/19,HTML,,,,,,,,62,10.33,16,4,6
25,"M Pannunzi, R Hindriks, RG Bettinardi, E Wenger…",Resting-state fMRI correlations: from link-wise unreliability to whole brain stability,2017,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811917304743,"https://scholar.google.com/scholar?cites=10292588678416953951&as_sdt=5,34&sciodt=0,34&hl=en",53,4/12/19,HTML,,,,,,,,25,12.5,5,5,2
36,"RM Birn, MD Cornejo, EK Molloy, R Patriat…",The influence of physiological noise correction on test–retest reliability of resting-state functional connectivity,2014,Brain …,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/brain.2014.0284,"https://scholar.google.com/scholar?cites=14298128351837124660&as_sdt=5,34&sciodt=0,34&hl=en",54,4/12/19,,,,,,,,,36,7.2,7,5,5
21,"JN Lee, EW Hsu, E Rashkin, JW Thatcher, S Kreitschitz…",Reliability of fMRI motor tasks in structures of the corticostriatal circuitry: implications for future studies and circuit function,2010,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811909010714,"https://scholar.google.com/scholar?cites=16590565601964441087&as_sdt=5,34&sciodt=0,34&hl=en",55,4/12/19,HTML,,,,,,,,21,2.33,4,6,9
579,"XN Zuo, C Kelly, JS Adelstein, DF Klein…",Reliable intrinsic connectivity networks: test–retest evaluation using ICA and dual regression approach,2010,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811909011525,"https://scholar.google.com/scholar?cites=17401436142635748443&as_sdt=5,34&sciodt=0,34&hl=en",56,4/12/19,HTML,,,,,,,,579,64.33,116,5,9
20,"RL Quiton, ML Keaser, J Zhuo, RP Gullapalli…",Intersession reliability of fMRI activation for heat pain and motor tasks,2014,NeuroImage: Clinical,Elsevier,https://www.sciencedirect.com/science/article/pii/S2213158214000977,"https://scholar.google.com/scholar?cites=17628958721374278343&as_sdt=5,34&sciodt=0,34&hl=en",57,4/12/19,HTML,,,,,,,,20,4,4,5,5
17,"S Frässle, FM Paulus, S Krach…",Test‐retest reliability of effective connectivity in the face perception network,2016,Human brain …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23061,"https://scholar.google.com/scholar?cites=13891117340641492234&as_sdt=5,34&sciodt=0,34&hl=en",58,4/12/19,,,,,,,,,17,5.67,4,4,3
67,"YH Chou, LP Panych, CC Dickey…",Investigation of long-term reproducibility of intrinsic connectivity network mapping: a resting-state fMRI study,2012,American Journal …,Am Soc Neuroradiology,http://www.ajnr.org/content/33/5/833.short,"https://scholar.google.com/scholar?cites=2123726109558435942&as_sdt=5,34&sciodt=0,34&hl=en",59,4/12/19,,,,,,,,,67,9.57,17,4,7
14,"A Blasi, S Lloyd-Fox, MH Johnson, C Elwell",Test–retest reliability of functional near infrared spectroscopy in infants,2014,Neurophotonics,spiedigitallibrary.org,https://www.spiedigitallibrary.org/journals/Neurophotonics/volume-1/issue-2/025005/Testretest-reliability-of-functional-near-infrared-spectroscopy-in-infants/10.1117/1.NPh.1.2.025005.short,"https://scholar.google.com/scholar?cites=11721974783688952458&as_sdt=5,34&sciodt=0,34&hl=en",60,4/12/19,,,,,,,,,14,2.8,4,4,5
31,"TJ Kimberley, DD Birkholz, RA Hancock…",Reliability of fMRI during a continuous motor task: assessment of analysis techniques,2008,Journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1552-6569.2007.00163.x,"https://scholar.google.com/scholar?cites=8867858252165057133&as_sdt=5,34&sciodt=0,34&hl=en",61,4/12/19,,,,,,,,,31,2.82,8,4,11
103,"VE Gountouna, DE Job, AM McIntosh, TWJ Moorhead…",Functional Magnetic Resonance Imaging (fMRI) reproducibility and variance components across visits and scanning sites with a finger tapping task,2010,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811909007988,"https://scholar.google.com/scholar?cites=5333101561811345509&as_sdt=5,34&sciodt=0,34&hl=en",62,4/12/19,HTML,,,,,,,,103,11.44,21,5,9
18,"CL Nord, A Gray, CJ Charpentier, OJ Robinson…",Unreliability of putative fMRI biomarkers during emotional face processing,2017,NeuroImage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811917304160,"https://scholar.google.com/scholar?cites=14913614859142930350&as_sdt=5,34&sciodt=0,34&hl=en",63,4/12/19,HTML,,,,,,,,18,9,4,5,2
114,"X Wei, SS Yoo, CC Dickey, KH Zou, CRG Guttmann…",Functional MRI of auditory verbal working memory: long-term reproducibility analysis,2004,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811903007092,"https://scholar.google.com/scholar?cites=16727588883004163950&as_sdt=5,34&sciodt=0,34&hl=en",64,4/12/19,HTML,,,,,,,,114,7.6,19,6,15
10,"F Duan, T Zhao, Y He, N Shu",Test–retest reliability of diffusion measures in cerebral white matter: a multiband diffusion MRI study,2015,Journal of Magnetic Resonance …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24859,"https://scholar.google.com/scholar?cites=2445134897533607166&as_sdt=5,34&sciodt=0,34&hl=en",65,4/12/19,,,,,,,,,10,2.5,3,4,4
12,"HW Chase, JC Fournier, T Greenberg, JR Almeida…",Accounting for dynamic fluctuations across time when examining fMRI test-retest reliability: analysis of a reward paradigm in the EMBARC study,2015,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126326,"https://scholar.google.com/scholar?cites=13587051880261648401&as_sdt=5,34&sciodt=0,34&hl=en",66,4/12/19,HTML,,,,,,,,12,3,2,5,4
21,"MA Morrison, NW Churchill, MD Cusimano…",Reliability of task-based fMRI for preoperative planning: a test-retest study in brain tumor patients and healthy controls,2016,PLoS …,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149547,"https://scholar.google.com/scholar?cites=13805275703867521019&as_sdt=5,34&sciodt=0,34&hl=en",67,4/12/19,HTML,,,,,,,,21,7,5,4,3
8,"NG Lee, SK Kang, DR Lee, HJ Hwang, JH Jung…",Feasibility and test-retest reliability of an electroencephalography-based brain mapping system in children with cerebral palsy: a preliminary investigation,2012,Archives of physical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0003999311010598,"https://scholar.google.com/scholar?cites=7465528166835214928&as_sdt=5,34&sciodt=0,34&hl=en",68,4/12/19,HTML,,,,,,,,8,1.14,1,6,7
7,"J Wang, J Han, VT Nguyen, L Guo…",Improving the test-retest reliability of resting state fmri by removing the impact of sleep,2017,Frontiers in neuroscience,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fnins.2017.00249,"https://scholar.google.com/scholar?cites=747169125884747443&as_sdt=5,34&sciodt=0,34&hl=en",69,4/12/19,HTML,,,,,,,,7,3.5,1,5,2
4,"BD Clarkson, S Tyagi, DJ Griffiths…",Test‐retest repeatability of patterns of brain activation provoked by bladder filling,2017,Neurourology and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/nau.23153,"https://scholar.google.com/scholar?cites=18229357041459206977&as_sdt=5,34&sciodt=0,34&hl=en",70,4/12/19,,,,,,,,,4,2,1,4,2
70,"S De Simoni, AJ Schwarz, OG O'Daly, AF Marquand…",Test–retest reliability of the BOLD pharmacological MRI response to ketamine in healthy volunteers,2013,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811912009470,"https://scholar.google.com/scholar?cites=1654033804537814965&as_sdt=5,34&sciodt=0,34&hl=en",71,4/12/19,HTML,,,,,,,,70,11.67,14,5,6
